dis,gene,av.sim
C0000731,DUOX2,0.1483
C0000731,SLC26A4,0.0952
C0000731,TG,0.0934
C0000731,TSHR,0.0657
C0000731,NKX2-5,0.0651
C0000731,GUCY2C,0.0496
C0000731,PAX8,0.0493
C0000731,TPO,0.04
C0000731,SLC5A5,0.0353
C0000731,FOXE1,0.0298333333333333
C0000731,TSHB,0.0283
C0000731,SOX10,0.02805
C0000731,HESX1,0.0273
C0000731,THRB,0.0268
C0000731,POU1F1,0.0261
C0000737,ND4,0.0989
C0000737,PTPN22,0.0787
C0000737,PRTN3,0.061
C0000737,TRNS1,0.0578
C0000737,TRNS2,0.0572
C0000737,ND6,0.0544
C0000737,LIMK1,0.052
C0000737,COX3,0.0509
C0000737,TRNW,0.0506
C0000737,TRNL1,0.0503
C0000737,GTF2IRD1,0.05
C0000737,TRNH,0.0494
C0000737,ND5,0.0494
C0000737,CTLA4,0.0494
C0000737,TRNQ,0.0491
C0000768,EYA1,0.2197
C0000768,SIX1,0.2176
C0000768,NOTCH1,0.0469
C0000768,ORC1,0.0398833333333333
C0000768,UBB,0.0324333333333333
C0000768,EP300,0.0307166666666666
C0000768,LFNG,0.0257
C0000768,NOTCH3,0.0253
C0000768,FLNB,0.0231199999999999
C0000768,PAX1,0.0228833333333333
C0000768,ACF,0.02192
C0000768,KCNJ10,0.0207
C0000768,CD151,0.0207
C0000768,PDCD10,0.01715
C0000768,SLC16A2,0.0164999999999999
C0000786,FGB,0.0993
C0000786,COL1A1,0.0838
C0000786,CODA,0.0761285714285714
C0000786,DCN,0.07302
C0000786,FGG,0.0703
C0000786,COL5A2,0.0637
C0000786,CXCL9,0.052
C0000786,FGA,0.0423
C0000786,OTSC1,0.0352
C0000786,ACAN,0.0322375
C0000786,HOXD13,0.0267
C0000786,FOXE1,0.0255374999999999
C0000786,PRF1,0.0254
C0000786,INHBB,0.0243
C0000786,HDAC4,0.0223
C0000832,IARS2,0.1379
C0000832,PLOD1,0.1282
C0000832,BBS4,0.1106
C0000832,PSEN2,0.1098
C0000832,ALG9,0.09605
C0000832,BBS2,0.08115
C0000832,NIDDM3,0.0773
C0000832,TARS2,0.0764
C0000832,PC,0.0756
C0000832,GAA,0.0633
C0000832,CLRN1,0.0627
C0000832,ADIPOQ,0.05765
C0000832,HP,0.0384
C0000832,BBS7,0.0382
C0000832,CDH23,0.038
C0000887,DSP,0.2281
C0000887,DSC2,0.0561799999999999
C0000887,KRT1,0.0412
C0000887,PKP1,0.04042
C0000887,DSG1,0.0388
C0000887,HLA-B,0.035
C0000887,COL7A1,0.03456
C0000887,ATP2C1,0.0307
C0000887,IKZF1,0.0306
C0000887,KRT14,0.0249
C0000887,KRT5,0.0245799999999999
C0000887,CDH5,0.021325
C0000887,LAMB3,0.0198199999999999
C0000887,ITGB4,0.01978
C0000887,PLEC,0.01952
C0000889,AGPAT2,0.3441
C0000889,PPARG,0.2048
C0000889,BSCL2,0.1943
C0000889,LIPE,0.1607
C0000889,LMNA,0.1506
C0000889,PLIN1,0.0681
C0000889,CAV1,0.0678
C0000889,ZMPSTE24,0.0593777777777777
C0000889,AKT2,0.0483
C0000889,PPP1R3A,0.0388
C0000889,LEPR,0.0374666666666666
C0000889,LEP,0.0363222222222222
C0000889,KCNJ6,0.02345
C0000889,CGA,0.0231
